	text	label
2357	`` We were the lowest bidders and now the final approval is awaited . '	positive
818	According to Schmardin , Nordea will most likely try to win customers over from other pension fund providers 	positive
3558	Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 	neutral
3455	With five different game modes , co-op tournaments , 4 player split-screen and multiplayer modes , players can have as much fun as they would if they were actually fishing 	neutral
153	After the takeover , Cramo will become the second largest rental services provider in the Latvian market 	positive
1704	A Flurry Analytics spokesperson said that , as it was only measuring Windows Phone 7 data for some weeks , the firm double-checked the data to make sure the 66 per cent rise was not an aberration 	neutral
3183	The company can not give up palm oil altogether , however 	neutral
1247	In addition to the presentations held by President & CEO Kai Telanne and CFO Tuomas Itkonen , participants will have an opportunity to discuss with other members of the company 's management 	neutral
855	It also has potential clients in the growing environmental and recycling technology sectors 	neutral
4271	The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most 	negative
4608	Total two offers were received by Contracting Authority for participating in this contract ; however the contract was allotted to Affecto Finland Oy 	neutral
4306	And Ogden reportedly will shell out $ 4.2 million 	neutral
120	Operating profit was EUR 24.5 mn , up from EUR 23.0 mn 	positive
3416	These module products will be available for trials during 3Q-07 and for volume deliveries during 4Q-07 	neutral
2352	H1 '08 H1 '07 Q2 '08 Q2 '07 in mln euro , unless otherwise stated Net sales 386 328.6 201 160.7 Operating profit 46.3 35.8 23.2 9.5 Pre-tax profit 33.6 26.9 18.7 5.1 Net profit 25.1 25.4 14 4.0 EPS in euro 2.20 2.36 1.24 0.38 1.0 euro = $ 1.60 www.componenta.co	neutral
2972	Investments are not disclosed 	neutral
2549	Protalix has $ 42 million in cash and no sales 	neutral
23	Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 	positive
4053	The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) 	negative
2838	Both sources said Nokia would unveil its new phone code-named `` Tube '' on Oct. 2 at an analyst and media event in London 	neutral
3854	The firm builds components for mobile phones and other communications products 	neutral
4387	The Estonian electronic components factory , Elcoteq , is running out of material because of the closure of air traffic 	negative
3219	The contract includes software licences , application maintenance and training 	neutral
3929	The transaction value is CAD 15 million approximately EUR 10 million 	neutral
4219	More than 14,000 customers were left powerless 	negative
789	The Group 's business is balanced by its broad portfolio of sports and presence in all major markets 	neutral
4650	Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 	negative
3399	The value of the orders is over EUR 10mn 	neutral
1123	` For Nordea , moving into the new headquarters signifies the beginning of a new era 	positive
607	Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE 	positive
1722	`` Following last year 's good profit development , we have entered the current year in a good position 	positive
3457	With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline 	neutral
1090	The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later 	neutral
4407	Net cash flow from operating activities was a negative EUR 3.1 mn , compared to EUR 23.3 mn in the corresponding period in 2009 	negative
1682	Together they generate Aspo 's goodwill 	neutral
954	However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said 	positive
1365	The company is studying the feasibility of focusing most of its processed meat production in the Vantaa facilities and the processing of fresh meat in the Forssa facilities 	neutral
1344	Swedish , Finnish and Danish listed companies are organized in three market cap segments , Nordic Large Cap , Mid Cap and Small Cap 	neutral
1504	Back then , Tikkurila 's former owner , Finnish chemicals company Kemira Oyj HEL : KRA1V , distributed an 86 % stake to Kemira shareholders to facilitate the divestment and listing of Tikkurila 	neutral
1527	From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor 	neutral
1748	At the seminar , a memorandum of understanding on co-operation was signed between the Finnish Kemira Company and Vietnam National Chemical Corporation 	positive
3	With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability 	positive
2409	As an alternative to the share exchange , Panostaja offers a full cash consideration at the value of 1.27 euro $ 1.7 per share 	neutral
1953	18 May 2010 - Finnish electronics producer Elcoteq SE HEL : ELQAV said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 	positive
2411	As reported June 26 , `` both circuits continued to alternately report the track as vacant and then occupied almost constantly from June 17 , when part of the track signaling device was replaced , to the time of the crash , according to the Metro source . '	neutral
2541	Payment of shares shall be effected on subscription 	neutral
2833	Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK 	neutral
116	Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn 	positive
4708	Prices and delivery volumes of broadband products decreased significantly in 2005 	negative
445	Takoma will carry out the transaction by acquiring the entire share capital of Moventas Parkano Oy , which runs the factory in Parkano , southern Finland 	neutral
1598	Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . '	neutral
4399	Full-year operating result for 2008 was 3.6 million negative 	negative
4423	Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland 	negative
2815	As part of the reorganisation , Pohjola Insurance 's 250 field staff for private customers will join the payroll of local cooperative banks from the beginning of October 2008 	neutral
4668	Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 	negative
2027	Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn 	positive
3227	The deal also includes a ten-year maintenance agreement 	neutral
3651	It is the first application in the market for invoice and purchase requisition approval with a mobile device 	neutral
3535	As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat 	neutral
1810	One can even receive on the spot alerts as soon as jobs are posted , putting you at the front of the queue for opportunities 	neutral
3912	The Tekla Structures product box , if needed , is now made from recycled material 	neutral
2569	Status : Agree	neutral
833	Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday 	positive
1458	Viking will pay EUR 130 million for the new ship , which will be completed in January 2008 	neutral
484	Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % 	positive
1956	`` Each year , personal entertainment plays a more significant role in determining whether a fitness facility 's workout experience is pleasurable or a chore , '' said Brian Wilson , director of marketing for Precor 's Entertainment & Services Division 	neutral
2223	The Finnish textiles and clothing company Marimekko Corporation ( OMX Helsinki : MMO1V ) reported on Wednesday ( 5 November ) an operating profit of EUR8 .1 m on net sales of EUR59m for the period from January to September 2008 	neutral
4559	Ruukki Group calculates that it has lost EUR 4mn in the failed project 	negative
4485	wins 98 % acceptance 23 December 2009 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will complete its takeover offer for textile company Tamfelt Oyj Abp ( HEL : TAFKS ) , after acquiring 98 % of its shares and votes 	neutral
4527	Rosen was cautious about being too optimistic inregard to the second half of the year 	neutral
96	Finnish high technology provider Vaahto Group reports net sales of EUR 41.8 mn in the accounting period September 2007 - February 2008 , an increase of 11.2 % from a year earlier 	positive
1781	HELSINKI AFX - Outokumpu said its technology unit has won a 28 mln eur contract from Bosnia-Herzegovina 's Aluminij dd Mostar to upgrade an anode plant 	positive
4686	( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 20	negative
4153	Finnish energy company Fortum has set itself new stricter target limits for short-term carbon dioxide emissions from its heat and electricity production 	neutral
172	Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 	positive
1000	Incap Corporation Stock Exchange Release 4 May 2010 at 8.30 a.m. INCAP CORPORATION 'S DIRECTED SHARE ISSUE WAS SUBSCRIBED IN FULL The Board of Incap Corporation has approved the subscriptions of directed share issue 	neutral
2510	Metso 's delivery will include a complete coated board line with related air systems and two winders 	neutral
2976	It currently employs about 750 people and expects headcount to reach 1,000 by end of 2007 	positive
3205	The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households 	neutral
2896	Finnish construction machinery and equipment rental group Cramo Oyj said on March 21 , 2007 its Swedish sector subsidiary Cramo AB will sell its Dutch subsidiary Cramo Nederland B.V. ( CNL ) to Dutch rental and scaffolding company Jaston Groep B.V. for an undisclosed sum 	neutral
2214	The company 's operating profit for 2006 stood at 39.6 mln euro ( $ 57.9 mln ) 	neutral
3054	Nokia is also negotiating the product portfolio of the new company 	neutral
3248	The Financial Statements and Interim Reports will be released around at 9.00 a.m. ( Finnish time ) on the given dates 	neutral
1711	Several large stocks tacked lower , however 	negative
2181	Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site 	positive
4665	Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 	negative
3267	The hosting mobile terminal guides information flow between itself , the participating terminals , and optionally , with network servers that may assist the hosting mobile terminal 	neutral
3200	The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry 	neutral
1971	The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial 	neutral
1432	The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ) 	neutral
3031	Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 	neutral
3940	The value of the three-year contract is estimated at EUR40m 	neutral
3490	1 April 2011 - Finnish machinery rental company Ramirent Oyj HEL : RMR1V said today it has acquired the assets of sector player Stavebni Doprava a Mechanizace SDM in the Czech Republic for an undisclosed sum 	neutral
1021	Aldata Solution Oyj Bertrand Sciard President and CEO Further information : Aldata Solution Oyj , Bertrand Sciard , President and CEO , tel. +33 1 46 48 28 00 Aldata 100 % Retail-Wholesale At Aldata 100 % of our business is dedicated to retail and wholesale business improvement 	neutral
4475	Creating interfaces that are more similar to interactions in the real world can enable experiences that are more natural and intuitive , in the same way that modern games and movies are more immersive through the use of realistic 3-D graphics 	neutral
2890	Financial details were n't disclosed 	neutral
2172	Operating profit totaled EUR 18.6 mn or 8.3 % of net sales 	neutral
1703	Finnish plumbing and heating systems supplier Uponor Corporation ( OMX Helsinki : UNR1V ) said on Tuesday ( 12 August ) that its board of directors has authorised the management to proceed with a company-wide cost reduction program 	positive
2582	The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught 	neutral
3517	Aldata Solution Oyj Thomas Hoyer CFO More information : Aldata Solution Oyj , Thomas Hoyer , CFO , tel. +358 45 670 0491 Aldata in brief Aldata Solution is one of the global leaders in supply chain software for retail , wholesale and logistics companies 	neutral
4383	The hack had been extra nefarious because the tweets activated without being clicked on - it was enough for Web surfers to move their mouse cursors over them 	negative
2052	The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable 	positive
3939	The value of the multi-year agreement is over EUR 2mn a year 	neutral
1268	Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson 	neutral
1993	The layoffs were aimed at reaching an annual savings target of 1.5 billion euros $ 2 billion by the end of 2010 	positive
4501	The company said it estimates to make a slight profit thanks to cost-cutting measures 	positive
673	23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year 	negative
1472	`` Our approach is very much to only use raw materials that are produced in line with the principles of sustainable development 	neutral
1641	The number of customers is one of the most important parameters in determining the price of electricity networks 	neutral
4534	To ensure low operational cost for radio networks , the BTS modules can be configured , software upgraded and diagnosed remotely 	positive
1892	Being successful requires providing a level of quality that satisfies our customers and partners 	neutral
208	Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share 	positive
3066	On 25 August 2009 , Sampo 's stake in Nordea was 19.45 % 	neutral
924	`` Demand for sports equipment was good in 2005 	positive
1897	Enclosed is Affecto 's call for Extraordinary General Meeting to be held on July 10th where the main agenda is to approve the authorization to the Board for the proposed share issue related to the Component Software acquisition , and to elect Haakon Skaarer to the Affecto board 	neutral
1150	According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed 	negative
1295	Of course , you 'll have direct access to Nokia 's Ovi store , so you 'll have lots of fun downloading your favorite media 	neutral
547	In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety 	positive
4356	The product range includes marinated olives , cold cuts , and pates , for example 	neutral
2826	Based on the design of previous handsets , the Nokia E72 and Nokia E63 this Symbian-based model is promised to offer direct access to over 90 per cent of the world s corporate email through Mail for Exchange and IBM Lotus Notes Traveler 	neutral
2860	Cramo Plc is a service company specialising in construction machinery and equipment rental and rental-related services , as well as rental and sale of modular space 	neutral
2599	The company 's board of directors has proposed a dividend of EUR0 .12 per share for 2006 	neutral
2184	Sales are expected to increase in the end of the year 2006 , however 	positive
3915	The total capacity of the factory will be approximately 100 engines a year 	neutral
2586	The aim of the CEO 's Q&A sessions is to give further clarity on information , which has been made public already earlier 	neutral
4428	The maritime administration said the ships had ignored warnings about the icy conditions 	negative
2578	Telecom has a foreign investment limit of 74 % , but it appears that mobile VAS does not , which means that Tecnomen can pick up as much as 96.6 % 	neutral
1622	The construction of a large woodworking facility in the Sheksna district of the Vologda Region , in northwest Russia , will begin in 2009 , and the plant will start production in 2011 	neutral
1408	The port operator , however , favors retaining the port fees in 2010 , citing the owner , the governemtn of Estonia , commiting the port to pay EEK 400mn ( EUR 25.56 mn USD 36.44 mn ) in dividends to the state in 2009 and another EEK 300mn in 2010 	neutral
1914	The adapter , awarded with the `` Certified Integration for SAP -« ; NetWeaver '' endorsement , integrates Basware s invoice automation and procurement solutions with more than 200 different ERP systems 	positive
3945	The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems 	neutral
858	Kone 's factory located at Ayanambakkam , a suburb to the west of Chennai , is a fully integrated facility which gives it the capability to address costs 	positive
1612	The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors 	neutral
2171	Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn 	neutral
3723	Pharmaceutical market in Netherlands Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Netherlands 	neutral
2687	Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there 	neutral
810	Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden 	positive
3329	The presentation material can be viewed on the company 's website in English after the conference 	neutral
3354	The sellers include 40 shareholders , including Intellibis management , employees and other investors 	neutral
3420	This amount will not be included in the pensionable salary 	neutral
3765	The Americas represents 25 % of Gemalto 's billing , and Latin America is one of the fastest growing regions for the company 	neutral
1426	The shopping center will have a prime location right next to the Myllypuro metro station 	positive
909	The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management 	positive
2705	When dialing in , the participants should quote 877417 as conference ID 	neutral
2887	Feed companies Suomen Rehu and Raisio do no import GMO feed 	neutral
1029	Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team 	neutral
2334	On the following workday customers can check from their home computers how their purchases are divided between different ingredient groups , how much energy various products contain and what is the nutritional content of all purchases 	neutral
424	Deliveries are to start later in 2010 , and the volume will increase in the years 2011-2012 	neutral
3308	The orders are part of a long-term development plan of Latvijas Finieris 	neutral
2147	MANAVIGATOR-September 7 , 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL : KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 ) 	positive
2984	It was decided that the auditors are reimbursed according to invoice 	neutral
1932	Today the orange scissors are the iconic symbol of the excellent ergonomic design and superior quality associated with every product from Fiskars 	neutral
1397	The most popular mobile data services are email , surfing the internet , as well as news and weather services 	neutral
781	Talvivaara also maintains its assumption of turning cash flow positive before the year end 	positive
689	Finnish pharmaceuticals company Orion reports profit before taxes of EUR 70.0 mn in the third quarter of 2010 , up from EUR 54.9 mn in the corresponding period in 2009 	positive
3387	The turbines are expected to be launched by the end of 2012 	neutral
2315	These savings will have full impact as of the beginning of 2007 	neutral
4498	Earnings per share were higher at 0.48 against 0.37 a year before and ahead of market consensus of 0.40 eur 	positive
